round,coordinate,swept_value,new_evaluation,selected,attempt_no,drop,vmult,mkt_drop,trend_filter,tp,stop_atr,slippage,n,n_candidates,n_after_overlap,floor_margin,feasible,mean_net,median_net,std_net,se_net,win_rate,mean_r,both_touch_share,tp_boundary_share,mean_hold_bars,distinct_entry_days,max_entries_per_day,days_at_cap,n_outside_window,mean_net_outside_window,trade_hash,by_year_n,share_tp,share_tp_gap,share_stop,share_stop_gap,share_time,control_all_days,control_same_day,winner_n,winner_share_n,winner_mean_net,nonwinner_mean_net
1,mkt_drop,0.015,True,False,9,0.04,1.5,0.015,0,0.03,1.5,0.001,557,698,597,1.4853333333333334,True,-0.0005768499417893212,0.026601509773533927,0.038171098524034636,0.0016173613518402428,0.63016157989228,0.046551229557435146,0.0017953321364452424,0.0,2.3644524236983844,394,5,6,540,-3.7068919712014546e-05,63600da41323,"{""2015"": 46, ""2016"": 117, ""2017"": 107, ""2018"": 138, ""2019"": 91, ""2020"": 55, ""2021"": 3}",0.5170556552962298,0.04129263913824058,0.17953321364452424,0.025134649910233394,0.236983842010772,-0.004455564638727655,-0.005458366415632243,59,0.1059245960502693,0.001164487046237214,-0.0007831529182824247
1,mkt_drop,0.02,True,False,10,0.04,1.5,0.02,0,0.03,1.5,0.001,610,781,667,1.6266666666666667,True,-0.0020539303985890435,0.026601509773533705,0.03938014834525716,0.0015944556004461828,0.6180327868852459,0.01861090507012855,0.001639344262295082,0.0,2.3049180327868855,420,5,7,587,-0.0008135141495046779,03dee309deaf,"{""2015"": 60, ""2016"": 124, ""2017"": 114, ""2018"": 149, ""2019"": 94, ""2020"": 66, ""2021"": 3}",0.5065573770491804,0.04262295081967213,0.1918032786885246,0.03114754098360656,0.2278688524590164,-0.004455564638727655,-0.006533232205427533,66,0.10819672131147541,0.0029577977400519788,-0.002661970944821226
1,mkt_drop,0.03,True,False,11,0.04,1.5,0.03,0,0.03,1.5,0.001,668,888,748,1.7813333333333334,True,-0.001466730731834417,0.026601509773533927,0.040093252296952146,0.001551254504761711,0.6287425149700598,0.03369984579186006,0.0014970059880239522,0.0,2.2574850299401197,448,5,6,645,-0.0003169168860237517,5bae237927d4,"{""2015"": 69, ""2016"": 133, ""2017"": 121, ""2018"": 161, ""2019"": 106, ""2020"": 75, ""2021"": 3}",0.5179640718562875,0.04341317365269461,0.19161676646706588,0.02844311377245509,0.218562874251497,-0.004455564638727655,-0.006187877644786197,76,0.11377245508982035,-0.0017685019813929068,-0.001427989828174881
1,mkt_drop,0.04,True,False,12,0.04,1.5,0.04,0,0.03,1.5,0.001,697,941,792,1.8586666666666667,True,-0.0013037732725501882,0.026601509773533927,0.040001804812649304,0.0015151764003109487,0.629842180774749,0.030021575581189786,0.0014347202295552368,0.0,2.2209469153515062,460,5,7,673,-0.00023845715619989633,44f77d84d32e,"{""2015"": 73, ""2016"": 134, ""2017"": 123, ""2018"": 170, ""2019"": 111, ""2020"": 83, ""2021"": 3}",0.5208034433285509,0.04447632711621234,0.18794835007173602,0.03443328550932568,0.21233859397417504,-0.004455564638727655,-0.006107993992428625,83,0.11908177905308465,-0.0005304228700316012,-0.0014083141250079126
1,trend_filter,0.0,False,True,3,0.04,1.5,0.0,0,0.03,1.5,0.001,740,1082,922,1.9733333333333334,True,4.5162446397074354e-05,0.026601509773533927,0.04023269351945367,0.0014789832280860558,0.6486486486486487,0.047176541307194404,0.0013513513513513514,0.0,2.1067567567567567,473,5,11,686,0.00037941374892340755,f017a42a8657,"{""2015"": 73, ""2016"": 139, ""2017"": 123, ""2018"": 172, ""2019"": 114, ""2020"": 116, ""2021"": 3}",0.5432432432432432,0.0445945945945946,0.17567567567567569,0.03513513513513514,0.20135135135135135,-0.004455564638727655,-0.005852806682318307,89,0.12027027027027028,0.0013218387806171205,-0.00012937548562379217
1,trend_filter,60.0,True,False,13,0.04,1.5,0.0,60,0.03,1.5,0.001,160,173,162,0.4266666666666667,False,0.00677216755352983,0.026601509773533927,0.03740088875595696,0.002956799874585135,0.70625,0.16950823077069915,0.0,0.0,1.9375,137,4,0,156,0.007221544299443374,9cfec08eddbd,"{""2015"": 11, ""2016"": 24, ""2017"": 41, ""2018"": 27, ""2019"": 26, ""2020"": 30, ""2021"": 1}",0.5875,0.06875,0.13125,0.01875,0.19375,-0.004455564638727655,-0.005812166216100427,20,0.125,-0.0005456825161866352,0.007817574706346468
1,trend_filter,120.0,True,False,14,0.04,1.5,0.0,120,0.03,1.5,0.001,224,255,226,0.5973333333333334,False,0.003905133117496692,0.026601509773533927,0.04062462264953713,0.0027143467753847246,0.6919642857142857,0.136203465368007,0.0,0.0,2.142857142857143,191,4,0,209,0.005624234492799483,ec9d7404e0a0,"{""2015"": 4, ""2016"": 39, ""2017"": 60, ""2018"": 38, ""2019"": 29, ""2020"": 52, ""2021"": 2}",0.5446428571428571,0.07589285714285714,0.13839285714285715,0.03125,0.20982142857142858,-0.004455564638727655,-0.006616196297106273,26,0.11607142857142858,-0.014620975049659868,0.006337854391971796
1,trend_filter,200.0,True,False,15,0.04,1.5,0.0,200,0.03,1.5,0.001,241,285,244,0.6426666666666667,False,0.0024747286084610917,0.026601509773533927,0.041702495623629564,0.002686293889341263,0.6887966804979253,0.11902788571189082,0.004149377593360996,0.0,2.0580912863070537,197,5,1,216,0.004664008032177834,9ba1477f885e,"{""2016"": 37, ""2017"": 64, ""2018"": 50, ""2019"": 30, ""2020"": 58, ""2021"": 2}",0.5435684647302904,0.07883817427385892,0.15767634854771784,0.029045643153526972,0.1908713692946058,-0.004455564638727655,-0.007041279912566326,34,0.14107883817427386,-0.007162962516749161,0.004057731015500457
1,tp,0.01,True,False,16,0.04,1.5,0.0,0,0.01,1.5,0.001,854,1082,989,2.2773333333333334,True,-0.0034283921292148087,0.00666749987501869,0.024526998055545667,0.0008392965952074766,0.8243559718969555,-0.015502327538935727,0.00468384074941452,0.0,0.6662763466042154,510,5,21,790,-0.0032877619768705495,ab4a78739228,"{""2015"": 88, ""2016"": 161, ""2017"": 143, ""2018"": 203, ""2019"": 126, ""2020"": 130, ""2021"": 3}",0.7997658079625293,0.01639344262295082,0.117096018735363,0.01873536299765808,0.04800936768149883,-0.005299390885499432,-0.005945609100302848,98,0.11475409836065574,-0.00018293243980755278,-0.0038490998667305644
1,tp,0.02,True,False,17,0.04,1.5,0.0,0,0.02,1.5,0.001,794,1082,948,2.1173333333333333,True,-0.0020186597579055564,0.016634504824276197,0.03367923586611898,0.001195231356526541,0.7153652392947103,0.00970409389309646,0.003778337531486146,0.0,1.4193954659949621,490,5,17,734,-0.001784505841027337,a5ae76182284,"{""2015"": 80, ""2016"": 150, ""2017"": 132, ""2018"": 188, ""2019"": 118, ""2020"": 123, ""2021"": 3}",0.6574307304785895,0.04030226700251889,0.16498740554156172,0.02518891687657431,0.11209068010075567,-0.005006191905644127,-0.006306786625726184,91,0.11460957178841309,-0.0020272821069631107,-0.0020175436359080637
1,tp,0.03,False,False,3,0.04,1.5,0.0,0,0.03,1.5,0.001,740,1082,922,1.9733333333333334,True,4.5162446397074354e-05,0.026601509773533927,0.04023269351945367,0.0014789832280860558,0.6486486486486487,0.047176541307194404,0.0013513513513513514,0.0,2.1067567567567567,473,5,11,686,0.00037941374892340755,f017a42a8657,"{""2015"": 73, ""2016"": 139, ""2017"": 123, ""2018"": 172, ""2019"": 114, ""2020"": 116, ""2021"": 3}",0.5432432432432432,0.0445945945945946,0.17567567567567569,0.03513513513513514,0.20135135135135135,-0.004455564638727655,-0.005852806682318307,89,0.12027027027027028,0.0013218387806171205,-0.00012937548562379217
